N° de Bien | Descripcion
PGEB-BM-301 | FOTOCOPIADORA CANNON IR-102	
PGEB-BM-309 | CALCULADORA MARCA CASIO MODELO HR-100TM-BK-A S/N	
PGEB-BM-538 | CODIGO DE PROCEDIMIENTO CIVIL, AUTOR: RICARDO HERRIQUEZ LA ROCHE TOMO I CARACAS 1997	
PGEB-BM-1005 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTER PEMTIUM DC-2,2 GH,TARJETA MADRE ASROCK MODELO 945GCM-S,DISCO DURO WESTERN DIGITAL 320 GB SATA 7200RPM W,MEMORIA DDR 1GB 667MHZ TITAN,QUEMADORA DVD S/MARCA,CHASIS GENERICO MARCA MEGA POWER  COLOR NEGRO
PGEB-BM-453 | TELEFONO SONY, MOD.: IT-B3, SER.: 1328618	
PGEB-BM-1008 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTER PEMTIUM DC-2,2 GH,TARJETA MADRE ASROCK MODELO 945GCM-S, SERIAL: 9BMOX1185655,DISCO DURO WESTERN DIGITAL 320 GB SATA 7200RPM W, SERIAL: 517DJ9Z106611,MEMORIA DDR 1GB 667MHZ TITAN, SERIAL: 341G164B-25,QUEMADORA DVD S/MARCA, SERIAL: 3743524126,CHASIS GENERICO MARCA MEGA POWER  COLOR NEGRO.
PGEB-BM-61 | TELEFONO PANASONIC, PROPT KX-T7730X, SERIAL NO 6KBSC531229
PGEB-BM-1013 | CPU INCLUYE LOS SIGUIENTES COMPONENTES INTERNOS:PROCESADOR INTER PEMTIUM DC-2,2 GH SEIAL: 1898,TARJETA MADRE ASROCK MODELO 945GCM-S SERIAL: 6004,DISCO DURO WESTERN DIGITAL 320 GB SATA 7200RPM W SERIAL: 106514,MEMORIA DDR 1GB 667MHZ TITAN SERIAL:068,QUEMADORA DVD S/MARCA SERIAL:105223,CHASIS GENERICO MARCA MEGA POWER  COLOR NEGRO
PGEB-BM-64 | TELEFONO LG ANALOGICO GS-625 S/N: 20708259
PGEB-BM-152 | CASE MEGA POWER COLOR GRIS, MEMORIA KINGSTOM 2 GB 667,DISCO DURO 160 GB WESTERN DIGITAL SATA ,DVD DVDRW LITE ON 22X BULT, NEGRO SATA,PROCESADOR INTEL DUAL CORE INTEL 2,5 GHZ,TARJETA MADRE ASROCK INTEL 63
PGEB-BM-462 | TELEFONO SIEMENS, MOD.: EUROSET 805 S, SER: S30054-S6700-F503-2	
PGEB-BM-180 | CASE,UNIDAD DE CD ROM,DISCO DURO 160GB,PROCESADOR INTEL DUAL CORE 2,7,TARJETA DE MEMORIA ASROCK INTEL  775, MEMORIA 2 GB	
PGEB-BM-205 | TELEFONO PANASONIC, COLOR NEGRO.  MOD.: KX-TS500LXB, SER.: OKBLD064892
PGEB-BM-199 | CPU NEGRO INTEL DUAL CORE 2.8 (904,00). TARJETA MADRE ASROCK 775 (380,00), MEMORIA RAM 2 GB (460), HD 320 GB( 430,00), CD ROM   SANSUNG SATA (178,00)   MOD.: S/N, SER.: S/N
PGEB-BM-155 | TELEFONO SONAKI COLOR NEGRO, EV-T6008ID	
PGEB-BM-208 | CPU. PROCESADOR INTEL DUAL CORE 2,80 GHZ, DIM 2GB 800MHZ, UNIDAD DVD LITE ON 24XSATA NEGRO, TARJETA MADRE ASROCK G31MS 1600MHZ, DISCO DURO SAMSUNG 500GB SATA, CASE MINI ATX	
PGEB-BM-471 | TELEFONO SIEMENS, COLOR BEIGE, IP S30054-560700, MOD.: EUROSET 805 S, SER: 0139782
49238 | MAPA DE VENEZUELA DOBLE CARA ENMARCADO EN DOBLE VIDRIO CON BORDE DE ALUMINIO DORADO SOBRE AREAS BAJO REGIMEN, MOD.: S/N, SER.: S/N
PGEB-BM-268 | IMPRESORA HP 2050 SERIAL BK31	
PGEB-BM-19 | CPU 226 INTEL PENTIUM IV  2,66 GHZ, 533 MHZ LGA-775, MB BIOSTAR P4 M80-M7 A/V/R 3PCI LGA-7, DISCO DURO 80 GB 7200 RPM IDE HITACHI 1B, UNIDAD DE CD-ROOM 56X BENQ BLACK, UNIDAD DE FLOPPY 3.5" HD BLACK, DIMM MEMORIA 256MB PC 3200/400 DDR, CASE 6210L-CA SF-2 BLACK SILVER.	
162685 | TECLADO (1) + MOUSE (2)	
PGEB-BM-139 | AIRE ACONDICIONADO SPLIT GENERAL PLUS 18000 BTU	
PGEB-BM-35 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA	
PGEB-BM-34 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA
PGEB-BM-33 | ESCRITORIO MODULAR EN FORMICA GRANADILLO DE 1,30 X 1,30  CON DOS GAVETAS PEQUENAS  Y ARCHIVO CON CERRADURA
BU-164 | TECLADO MEGAPOWER, COLOR NEGRO.
PGEB-BM-490 | IMPRESORA LASSER HP 1300, MOD.: S/N, SER: S/N COLOR BEIGE
PGEB-BM-201 | CPU NEGRO INTEL DUAL CORE 2.8 (1008,00). TARJETA MADRE ASROCK 775 (400,00), MEMORIA RAM 2 GB (410), HD 320 GB( 440,00), CD ROM SANSUNG SATA (270,00)   MOD.: S/N, SER.: S/N
151552 | SWICHT DE 16 PUERTOS NEXT SOLUTIONS
PGEB-BM-446 | ESCRITORIO EN FORMICA PALO DE ROSA DE 1,20 CON DOS (2) GAVETAS CON CERRADURA, MOD.: S/N, SER.: S/N
159060 | GUILLOTINA ROTATIVA A3,SIZE WEX
PGEB-BM-416 | REGULADOR DE VOLTAJE AVETK, MOD.: S/N, SER.: RP-1 1070339	
PGEB-BM-42 | REGULADOR DE VOLTAJE, MARCA AVTEK RC PLUS, COLOR GRIS	
PGEB-BM-886 | REGULADOR DE VOLTAJE MARCA INTEGRA FORPC C`S COLOR BEIGE.	
PGEB-BM-227 | SILLA SECRETARIALES SIN APOYO DE BRAZOS CON 5 RUEDAS GIRATORIAS
PGEB-BM-148 | SILLA EJECUTIVA PISA SAFA, COLOR AZUL	
PGEB-BM-308 | CALCULADORA MARCA CASIO MODELO HR-100TMBKA	
PGEB-BM-955 | MESA AUXILIAR EN FORMICA DE 1 GAVETA 80CM LONG* 56 CM ANCHO COLOR PALO DE ROSA
PGEB-BM-491 | MONITOR 15", MARCA SIRAGON, SVGA, COLOR NEGRO Y PLATEADO, MOD.: S/N, SER: S/N
PGEB-BM-53 | MONITOR SOYO, 17" BLACK, PANTALLA PLANA
PGEB-BM-66 | MONITOR DE 17" LCD AOC BLACK
